,Structure type,cif,site,tcsp_present,tctp_on_caps,tctp_sites,sp_square_formula,sp_cap_formula,num_tctp_caps,tctp_center_0,tctp_tp_formula_0,tctp_cap_formula_0,tctp_center_1,tctp_tp_formula_1,tctp_cap_formula_1,tctp_center_2,tctp_tp_formula_2,tctp_cap_formula_2
134,"TbGe2,oS24,65",1007801.cif,Ge4,yes,no,"[['', 0]]",Ge4Tb4,Ge4,0,,,,,,,,,
227,"HoNiGa,oP12,62",1000482.cif,Ni,yes,no,"[['', 0]]",Ho4Ga2Ni2,Ga2Ho2,0,,,,,,,,,
226,"HoNiGa,oP12,62",1000482.cif,Ga,yes,no,"[['', 0]]",Ho4Ga2Ni2,Ho2Ni2,0,,,,,,,,,
225,"Nd11Pd4In9,oS48,65",1124270.cif,In3,yes,no,"[['', 0]]",Nd8,Pd4,0,,,,,,,,,
222,"Yb7Co4InGe12,tP24,83",1323301.cif,Ge3,yes,no,"[['', 0]]",Ge4Co2Yb2,Ge2Yb2,0,,,,,,,,,
212,"LaCo8P5,oP28,59",1407031.cif,Co5,yes,no,"[['', 0]]",Co4La2P2,Co2P2,0,,,,,,,,,
211,"LaCo8P5,oP28,59",1407031.cif,P1,yes,no,"[['', 0]]",Co4La2P2,Co3P,0,,,,,,,,,
264,"Ce3Ni2Si8,oS26,65",301799.cif,Si4,yes,no,"[['', 0]]",Si6Ce2,Ce2Ni2,0,,,,,,,,,
158,"Mg5Dy5Fe4Al12Si6,tP32,123",1634042.cif,Si1,yes,no,"[['', 0]]",Mg4Dy2Fe2,Al2Si2,0,,,,,,,,,
156,"UCo5Si3,hP54,176",1407063.cif,Co2,yes,no,"[['', 0]]",Co4Si2U2,Si2CoU,0,,,,,,,,,
155,"UCo5Si3,hP54,176",1407063.cif,Co4,yes,no,"[['', 0]]",Co4Si2U2,Si2CoU,0,,,,,,,,,
172,"Y2Rh3Sn5,oS40,36",1902867.cif,Rh3,yes,no,"[['', 0]]",Sn4Rh2Y2,Sn2Y2,0,,,,,,,,,
185,"Pr7Co6Al7,tP40,127",1803328.cif,Al3,yes,no,"[['', 0]]",Co4Pr4,Pr4,0,,,,,,,,,
1,"Ni3Te2,mP10,11",1200348.cif,Ni1,yes,no,"[['', 0]]",Ni4Te4,Ni2Te2,0,,,,,,,,,
725,"Ce3Rh4Sn7,mP28,11",1650230.cif,Sn4,yes,no,"[['', 0]]",Sn4Ce2Rh2,Ce2RhSn,0,,,,,,,,,
162,"LaMnSi2,oS16,63",1611809.cif,Mn,yes,no,"[['', 0]]",Mn4La2Si2,La2Si2,0,,,,,,,,,
262,"Ce3Ni2Si8,oS26,65",301799.cif,Si1,yes,no,"[['', 0]]",Si4Ce2Ni2,Ce2Si2,0,,,,,,,,,
161,"Mg5Dy5Fe4Al12Si6,tP32,123",1634042.cif,Dy2,yes,no,"[['', 0]]",Si8,Mg4,0,,,,,,,,,
263,"Ce3Ni2Si8,oS26,65",301799.cif,Si2,yes,no,"[['', 0]]",Ce4Ni2Si2,Si3Ce,0,,,,,,,,,
265,"Sc3NiSi3,mS28,12",1406743.cif,Si1,yes,no,"[['', 0]]",Sc4Ni2Si2,Sc2NiSi,0,,,,,,,,,
54,"Nd2Ni7P4,oP26,31",1615302.cif,P2,yes,no,"[['', 0]]",Ni4Nd2P2,Ni4,0,,,,,,,,,
53,"Nd2Ni7P4,oP26,31",1615302.cif,Ni1,yes,no,"[['', 0]]",Ni4Nd2P2,Ni2NdP,0,,,,,,,,,
52,"Nd2Ni7P4,oP26,31",1615302.cif,P1,yes,no,"[['', 0]]",Ni4Nd2P2,Ni3Nd,0,,,,,,,,,
48,"PtPb3Bi,tP20,136",539505.cif,Bi2B,yes,no,"[['', 0]]",Bi3Pb3Pt2,Bi3Pb,0,,,,,,,,,
47,"PtPb3Bi,tP20,136",539505.cif,Pb2A,yes,no,"[['', 0]]",Pb4Bi2Pt2,Bi2Pb2,0,,,,,,,,,
45,"Er3Ge4,oS28,63",1612458.cif,Ge3,yes,no,"[['', 0]]",Er4Ge4,Er4,0,,,,,,,,,
43,"KBa2Cd2Sb3,oP32,62",1931232.cif,Sb1,yes,no,"[['', 0]]",Ba4Cd2Sb2,Cd2BaK,0,,,,,,,,,
40,"SrPd2Bi2,mP10,11",1711611.cif,Bi1,yes,no,"[['', 0]]",Bi4Pd2Sr2,Pd2Sr2,0,,,,,,,,,
39,"SrPd2Bi2,mP10,11",1711611.cif,Bi2,yes,no,"[['', 0]]",Sr4Bi2Pd2,Pd3Sr,0,,,,,,,,,
38,"Mn3As,oS16,63",1057668.cif,Mn3,yes,no,"[['', 0]]",Mn6As2,Mn4,0,,,,,,,,,
36,"PrTe2Se,oS16,63",1321995.cif,Te1,yes,no,"[['', 0]]",Te6Pr2,Se2Te2,0,,,,,,,,,
259,"Tb8Ni18P11,hP74,187",1406252.cif,Ni8,yes,no,"[['', 0]]",Ni4P2Tb2,P2Tb2,0,,,,,,,,,
250,"LuNiSn2,oP48,62",301824.cif,Sn5,yes,no,"[['', 0]]",Sn4Lu2Ni2,Lu2NiSn,0,,,,,,,,,
249,"LuNiSn2,oP48,62",301824.cif,Sn4,yes,no,"[['', 0]]",Sn4Lu2Ni2,Lu2NiSn,0,,,,,,,,,
248,"LuNiSn2,oP48,62",301824.cif,Lu1,yes,no,"[['', 0]]",Sn6Ni2,Sn3Ni,0,,,,,,,,,
247,"LuNiSn2,oP48,62",301824.cif,Sn2,yes,no,"[['', 0]]",Sn6Lu2,Lu2NiSn,0,,,,,,,,,
246,"Sc2Te,oP36,62",1110976.cif,Sc2,yes,no,"[['', 0]]",Sc6Te2,Sc3Te,0,,,,,,,,,
244,"Sm2NiSn4,oP28,62",1620466.cif,Sn3,yes,no,"[['', 0]]",Sn4Ni2Sm2,Sm2NiSn,0,,,,,,,,,
243,"Sm2NiSn4,oP28,62",1620466.cif,Sn4,yes,no,"[['', 0]]",Sn6Sm2,Sm2NiSn,0,,,,,,,,,
242,"Sm2NiSn4,oP28,62",1620466.cif,Sn1,yes,no,"[['', 0]]",Sm4Sn4,Sm2Sn2,0,,,,,,,,,
241,"Zr3NiSb7,oP44,62",1323964.cif,Sb2,yes,no,"[['', 0]]",Sb4Ni2Zr2,Sb3Zr,0,,,,,,,,,
239,"PrNiIn2,oS80,63",1000824.cif,In1,yes,no,"[['', 0]]",Pr4In2Ni2,In4,0,,,,,,,,,
252,"LuNiSn2,oP48,62",301824.cif,Sn6,yes,no,"[['', 0]]",Sn4Lu2Ni2,Lu2NiSn,0,,,,,,,,,
201,"Mg5Si6,mS22,8",1123564.cif,Mg3,yes,no,"[['', 0]]",Si8,Mg2Si2,0,,,,,,,,,
165,"Nd2Te5,oS28,63",453269.cif,Te5,yes,no,"[['', 0]]",Te6Nd2,Te4,0,,,,,,,,,
164,"Nd2Te5,oS28,63",453269.cif,Te4,yes,no,"[['', 0]]",Te6Nd2,Nd2Te2,0,,,,,,,,,
163,"Nd2Te5,oS28,63",453269.cif,Te3,yes,no,"[['', 0]]",Te8,Nd2Te2,0,,,,,,,,,
1028,"Gd3Ni7Al14,hP72,189",1143122.cif,Al3,yes,no,"[['', 0]]",Al4Gd2Ni2,Al2GdNi,0,,,,,,,,,
1026,"K4P3,oS28,63",1251383.cif,K1,yes,no,"[['', 0]]",K4P4,K4,0,,,,,,,,,
1025,"Eu5Ga9,oS56,63",1003249.cif,Ga2,yes,no,"[['', 0]]",Eu4Ga4,Eu2Ga2,0,,,,,,,,,
1024,"Eu5Ga9,oS56,63",1003249.cif,Ga3,yes,no,"[['', 0]]",Eu4Ga4,Eu2Ga2,0,,,,,,,,,
1023,"Eu5Ga9,oS56,63",1003249.cif,Ga4,yes,no,"[['', 0]]",Eu4Ga4,Eu2Ga2,0,,,,,,,,,
1021,"CuFe2Ge2,oP10,51",1803269.cif,Cu,yes,no,"[['', 0]]",Fe4Ge4,Cu2Ge2,0,,,,,,,,,
1020,"YNi2Al3,hP18,191",1233796.cif,Al2,yes,no,"[['', 0]]",Al4Y4,Ni4,0,,,,,,,,,
1019,"Yb3CoSn6,oS40,63",1219677.cif,Sn2,yes,no,"[['', 0]]",Sn4Co2Yb2,Sn2Yb2,0,,,,,,,,,
1018,"Yb3CoSn6,oS40,63",1219677.cif,Sn1,yes,no,"[['', 0]]",Sn6Yb2,Yb2CoSn,0,,,,,,,,,
1016,"CdYb2Sb2,oS20,36",1623467.cif,Cd,yes,no,"[['', 0]]",Yb6Sb2,Sb3Yb,0,,,,,,,,,
1027,"Gd3Ni7Al14,hP72,189",1143122.cif,Al1,yes,no,"[['', 0]]",Al4Gd2Ni2,Al2GdNi,0,,,,,,,,,
1055,"BaCu10P4,mS60,12",1002640.cif,Cu2,yes,no,"[['', 0]]",Cu4Ba2P2,Cu3P,0,,,,,,,,,
918,"Y4Co4Ga,mS18,12",1612311.cif,Ga,yes,no,"[['', 0]]",Co4Y4,Y4,0,,,,,,,,,
922,"Ca3Ni3Si2,oP32,62",1708675.cif,Si1,yes,no,"[['', 0]]",Ca4Ni4,Ca2Ni2,0,,,,,,,,,
261,"Tb8Ni18P11,hP74,187",1406252.cif,Ni2,yes,no,"[['', 0]]",Ni4P2Tb2,P2Tb2,0,,,,,,,,,
260,"Tb8Ni18P11,hP74,187",1406252.cif,Ni1,yes,no,"[['', 0]]",Ni6Tb2,Ni4,0,,,,,,,,,
1057,"BaCu10P4,mS60,12",1002640.cif,Cu1,yes,no,"[['', 0]]",Cu6Ba2,Cu2P2,0,,,,,,,,,
1056,"BaCu10P4,mS60,12",1002640.cif,Cu8,yes,no,"[['', 0]]",Cu4Ba2P2,Cu2P2,0,,,,,,,,,
1046,"Fe3Al2Si4,oS36,63",1252927.cif,Si2,yes,no,"[['', 0]]",Al4Fe4,Si3Fe,0,,,,,,,,,
1045,"Fe3Al2Si4,oS36,63",1252927.cif,Si1,yes,no,"[['', 0]]",Si4Al2Fe2,Fe2Si2,0,,,,,,,,,
1044,"K2Ag4S3,mS36,12",540909.cif,Ag4,yes,no,"[['', 0]]",Ag4K2S2,K2AgS,0,,,,,,,,,
1015,"Sr4Pd5P5,oS56,63",1703009.cif,Pd4,yes,no,"[['', 0]]",Pd4Sr4,P4,0,,,,,,,,,
1037,"BaCu5P3,oP72,58",1052101.cif,Cu7,yes,no,"[['', 0]]",Cu6P2,P2BaCu,0,,,,,,,,,
1036,"BaCu5P3,oP72,58",1052101.cif,Cu4,yes,no,"[['', 0]]",Cu4Ba2P2,Cu2P2,0,,,,,,,,,
1035,"BaCu5P3,oP72,58",1052101.cif,Cu8,yes,no,"[['', 0]]",Cu4Ba2P2,Ba2P2,0,,,,,,,,,
1034,"BaCu5P3,oP72,58",1052101.cif,Cu5,yes,no,"[['', 0]]",Cu4Ba2P2,P2BaCu,0,,,,,,,,,
1033,"Gd3Ni7Al14,hP72,189",1143122.cif,Al9,yes,no,"[['', 0]]",Al4Gd4,Al2Ni2,0,,,,,,,,,
1032,"Gd3Ni7Al14,hP72,189",1143122.cif,Al7,yes,no,"[['', 0]]",Al8,Gd2Ni2,0,,,,,,,,,
1031,"Gd3Ni7Al14,hP72,189",1143122.cif,Al6,yes,no,"[['', 0]]",Al4Ni4,Al2Gd2,0,,,,,,,,,
1030,"Gd3Ni7Al14,hP72,189",1143122.cif,Al5,yes,no,"[['', 0]]",Al4Gd2Ni2,Al2Ni2,0,,,,,,,,,
1029,"Gd3Ni7Al14,hP72,189",1143122.cif,Al4,yes,no,"[['', 0]]",Gd4Al2Ni2,Al2Ni2,0,,,,,,,,,
917,"Y4Co4Ga,mS18,12",1612311.cif,Y1,yes,no,"[['', 0]]",Co4Ga2Y2,Co2GaY,0,,,,,,,,,
834,"LaNi5As3,oP72,62",1320647.cif,Ni4,yes,no,"[['', 0]]",As4Ni4,As2Ni2,0,,,,,,,,,
815,"U4Ni5Al18,mS54,8",1407000.cif,Al11,yes,no,"[['', 0]]",Al4Ni2U2,Al2NiU,0,,,,,,,,,
830,"U4Ni5Al18,mS54,8",1407000.cif,Al6,yes,no,"[['', 0]]",Al4U4,Al4,0,,,,,,,,,
828,"U4Ni5Al18,mS54,8",1407000.cif,Al3,yes,no,"[['', 0]]",Al4U4,Al4,0,,,,,,,,,
842,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg5,yes,no,"[['', 0]]",Mg6Cu2,Y3Mg,0,,,,,,,,,
827,"U4Ni5Al18,mS54,8",1407000.cif,Al14,yes,no,"[['', 0]]",Al4Ni2U2,Al2NiU,0,,,,,,,,,
824,"U4Ni5Al18,mS54,8",1407000.cif,Al15,yes,no,"[['', 0]]",Al4Ni2U2,Al2NiU,0,,,,,,,,,
823,"U4Ni5Al18,mS54,8",1407000.cif,Al13,yes,no,"[['', 0]]",Al4Ni2U2,Al3U,0,,,,,,,,,
822,"U4Ni5Al18,mS54,8",1407000.cif,Al12,yes,no,"[['', 0]]",Al8,U3Ni,0,,,,,,,,,
821,"U4Ni5Al18,mS54,8",1407000.cif,Al17,yes,no,"[['', 0]]",Al4Ni2U2,Al3Ni,0,,,,,,,,,
820,"U4Ni5Al18,mS54,8",1407000.cif,Al7,yes,no,"[['', 0]]",Al8,Ni2U2,0,,,,,,,,,
818,"U4Ni5Al18,mS54,8",1407000.cif,Al4,yes,no,"[['', 0]]",Al4Ni2U2,Al3Ni,0,,,,,,,,,
1041,"LiLa2Ge4Si2,oS18,65",1128628.cif,Si1,yes,no,"[['', 0]]",La6Ge2,Ge2Si2,0,,,,,,,,,
1039,"Re4Si7,mS44,8",1532954.cif,Re8,yes,no,"[['', 0]]",Si8,Re2Si2,0,,,,,,,,,
1038,"BaCu5P3,oP72,58",1052101.cif,Cu9,yes,no,"[['', 0]]",Cu4Ba2P2,P2BaCu,0,,,,,,,,,
1076,"IrGa2,oS36,63",1906603.cif,Ga2,yes,no,"[['', 0]]",Ga4Ir4,Ga3Ir,0,,,,,,,,,
859,"U10Co51Si33,hP188,176",1000449.cif,Co12,yes,no,"[['', 0]]",Co4Si2U2,Si2CoU,0,,,,,,,,,
858,"U10Co51Si33,hP188,176",1000449.cif,Co17,yes,no,"[['', 0]]",Co6Si2,Si2CoU,0,,,,,,,,,
853,"CePt2In2,mP20,11",1804598.cif,In2,yes,no,"[['', 0]]",Pt4Ce2In2,In2CePt,0,,,,,,,,,
814,"U4Ni5Al18,mS54,8",1407000.cif,Al2,yes,no,"[['', 0]]",Al4Ni2U2,Al3U,0,,,,,,,,,
826,"U4Ni5Al18,mS54,8",1407000.cif,Al1,yes,no,"[['', 0]]",Al4U4,Al4,0,,,,,,,,,
843,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg6,yes,no,"[['', 0]]",Y4Cu2Mg2,Mg4,0,,,,,,,,,
874,"Mg11Y2Ni2,mS30,12",1148466.cif,Mg5,yes,no,"[['', 0]]",Mg6Ni2,Mg2Y2,0,,,,,,,,,
873,"V18P9C2,oP58,51",1644069.cif,V1,yes,no,"[['', 0]]",V8,P4,0,,,,,,,,,
819,"U4Ni5Al18,mS54,8",1407000.cif,Al18,yes,no,"[['', 0]]",Al6Ni2,Al2U2,0,,,,,,,,,
915,"La4Co5Al2,oP22,58",1651338.cif,Co3,yes,no,"[['', 0]]",Co4La4,Al2La2,0,,,,,,,,,
913,"La4Co5Al2,oP22,58",1651338.cif,La1,yes,no,"[['', 0]]",Co4Al2La2,Co2AlLa,0,,,,,,,,,
877,"Au2Eu2Sn5,mP18,11",1415289.cif,Sn2,yes,no,"[['', 0]]",Sn4Au2Eu2,Eu2Sn2,0,,,,,,,,,
876,"Au2Eu2Sn5,mP18,11",1415289.cif,Au1,yes,no,"[['', 0]]",Eu4Au2Sn2,Sn3Eu,0,,,,,,,,,
841,"Mg13Cu5Y5,oS92,63",1629333.cif,Mg4,yes,no,"[['', 0]]",Mg4Cu2Y2,Mg2Y2,0,,,,,,,,,
836,"LaNi5As3,oP72,62",1320647.cif,Ni7,yes,no,"[['', 0]]",Ni4As2La2,As2LaNi,0,,,,,,,,,
835,"LaNi5As3,oP72,62",1320647.cif,Ni2,yes,no,"[['', 0]]",Ni4As2La2,As2LaNi,0,,,,,,,,,
